name,nprn_number,range_min,range_max
lpf freq,85,0,164
lpf resonance,86,0,127
lpf key amt,87,0,127
lpf 2/4 pole,88,0,1
hpf freq,94,0,127
hp resonance,95,0,127
hpf key amt,96,0,127
lpf env amt,114,0,254
velocity to lpf env amt,115,0,127
lpf env delay,116,0,127
lpf env attack,117,0,127
lpf env decay,118,0,127
lpf env sustain,119,0,127
lpf env release,120,0,127
lpf env repeat,121,0,1
